time,sti
UTC,yearday
1967-01-01T00:00:00Z,30.0
1968-01-01T00:00:00Z,84.0
1969-01-01T00:00:00Z,61.0
1970-01-01T00:00:00Z,73.0
1971-01-01T00:00:00Z,18.0
1972-01-01T00:00:00Z,72.0
1973-01-01T00:00:00Z,65.0
1974-01-01T00:00:00Z,18.0
1975-01-01T00:00:00Z,67.0
1976-01-01T00:00:00Z,5.0
1977-01-01T00:00:00Z,2.0
1978-01-01T00:00:00Z,67.0
1979-01-01T00:00:00Z,56.0
1980-01-01T00:00:00Z,68.0
1981-01-01T00:00:00Z,50.0
1982-01-01T00:00:00Z,104.0
1983-01-01T00:00:00Z,89.0
1984-01-01T00:00:00Z,10.0
1985-01-01T00:00:00Z,19.0
1986-01-01T00:00:00Z,74.0
1987-01-01T00:00:00Z,72.0
1988-01-01T00:00:00Z,17.0
1989-01-01T00:00:00Z,94.0
1990-01-01T00:00:00Z,13.0
1991-01-01T00:00:00Z,63.0
1992-01-01T00:00:00Z,85.0
1993-01-01T00:00:00Z,152.0
1994-01-01T00:00:00Z,62.0
1995-01-01T00:00:00Z,81.0
1996-01-01T00:00:00Z,71.0
1997-01-01T00:00:00Z,41.0
1998-01-01T00:00:00Z,54.0
1999-01-01T00:00:00Z,83.0
2000-01-01T00:00:00Z,60.0
2001-01-01T00:00:00Z,64.0
2002-01-01T00:00:00Z,8.0
2003-01-01T00:00:00Z,75.0
2004-01-01T00:00:00Z,57.0
2005-01-01T00:00:00Z,62.0
2006-01-01T00:00:00Z,102.0
2007-01-01T00:00:00Z,3.0
2008-01-01T00:00:00Z,12.0
2009-01-01T00:00:00Z,64.0
2010-01-01T00:00:00Z,62.0
2011-01-01T00:00:00Z,2.0
2012-01-01T00:00:00Z,41.0
2013-01-01T00:00:00Z,5.0
2014-01-01T00:00:00Z,68.0
2015-01-01T00:00:00Z,40.0
2016-01-01T00:00:00Z,73.0
2017-01-01T00:00:00Z,85.0
2018-01-01T00:00:00Z,28.0
2019-01-01T00:00:00Z,46.0
2020-01-01T00:00:00Z,28.0
2021-01-01T00:00:00Z,14.0
2022-01-01T00:00:00Z,12.0
